2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
	William’s Bon Chretien	1st	£/kg	0.49	0.57	0.52					0.66	0.58			
	William’s Bon Chretien	2nd	£/kg	0.37							0.44	0.28			
	William’s Bon Chretien	Ave	£/kg	0.47	0.57	0.52					0.53	0.55			
	Other	1st	£/kg	0.49	0.47							0.63	0.59	0.61	0.57
	Other	2nd	£/kg	0.39										0.35	
	Other	Ave	£/kg	0.45	0.47							0.63	0.59	0.47	0.57
Plums and Gages	Czar	-	£/kg												
	Majorie’s Seedling	-	£/kg									0.81	0.62	0.66	
	Victoria	-	£/kg								1.14	0.96			
	Other Varieties	-	£/kg							1.39	0.82	0.69	0.71		
Raspberries	All Varieties	-	£/kg					16.02	8.10	5.78	6.58	7.71	7.52	6.68	
Redcurrants	All Varieties	-	£/kg							5.86	5.05	4.81			
Strawberries	All Varieties	1st	£/kg				4.50	4.03	2.69	2.11	2.66	2.35	2.13	2.19	2.07
	All Varieties	2nd	£/kg	1.43			5.51	2.06	1.24	1.10	1.36	1.11	1.06	1.36	1.52
	All Varieties	Ave	£/kg	1.43			4.50	3.54	2.34	1.78	2.33	1.96	1.78	1.60	1.79
VEGETABLES															
Asparagus	All Varieties	-	£/kg				7.56	6.67	5.48	6.17			7.52		
Beetroot	Topped	-	£/kg	0.35	0.34	0.31	0.31	0.31	0.33	0.39	0.37	0.37	0.34	0.33	0.33
Broad Beans	Broad	-	£/kg						1.20	0.95	1.12	1.23	0.76		
Brussels Sprouts	All Varieties	-	£/kg	0.54	0.50	0.54	0.57	0.41			1.14	0.77	0.61	0.55	0.68
Bulb Onions	Yellow	-	£/kg	0.25	0.29	0.34	0.38	0.38	0.35	0.45	0.33	0.33	0.31	0.31	0.37
	Red	-	£/kg	0.38	0.38	0.39	0.46	0.44	0.43	0.45	0.36	0.43	0.49	0.51	0.54
Cabbage	Red	-	£/kg	0.31	0.32	0.34	0.35	0.44	0.46	0.44	0.42	0.39	0.35	0.35	0.35
	Savoy	-	£/head	0.36	0.36	0.36	0.34	0.44	0.40	0.41	0.34	0.31	0.32	0.33	0.36
(reported as combined item before 2007)	Spring Greens - Loose	-	£/kg	0.37	0.79	1.24	1.38		0.75						0.75
	Spring Greens - Prepacked	-	£/kg	0.75	1.02	1.27	1.16	0.81	0.71	0.65	0.56	0.57	0.60	0.67	0.75
	Summer & Autumn-Pointed	-	£/kg	0.45			0.48	0.46	0.42	0.41	0.39	0.40	0.38	0.41	0.39
	Summer & Autumn Round	-	£/head	0.29		0.32	0.29	0.43	0.39	0.36	0.31	0.29	0.30	0.30	0.35
	White	-	£/kg	0.27	0.27	0.29	0.30	0.35	0.35	0.35	0.34	0.32	0.28	0.28	0.31
	Winter Other	-	£/head	0.31	0.30	0.33	0.31	0.28				0.32	0.32	0.31	0.38
Calabrese	All Varieties	-	£/kg	1.11	0.83				1.29	0.99	1.00	0.93	1.01	1.09	1.20
Capsicums	Green	1st	£/kg			1.20	2.90	1.76	1.34	0.82	0.70	1.08		0.84	0.84
	Green	2nd	£/kg							0.55	0.40	0.45	0.66	0.53	0.69
	Green	Ave	£/kg			1.20	2.90	1.76	1.34	0.72	0.55	0.75	0.66	0.60	0.72
	Red	1st	£/kg					2.02	1.21	1.08	0.65	0.96			1.60
	Red	2nd	£/kg						0.88	0.53	0.42	0.53	0.73	0.52	1.20
	Red	Ave	£/kg					2.02	1.20	0.94	0.49	0.70	0.73	0.52	1.40
Carrots	Topped-Washed	-	£/kg	0.31	0.30	0.28	0.35	0.41	0.44	0.36	0.31	0.29	0.26	0.26	0.36
Cauliflowers	Kent	-	£/head	0.93	1.00	0.68	0.55	0.61	0.48	0.48	0.47	0.44	0.46	0.50	0.94
	All Other	-	£/head	0.61	0.75	0.61	0.43	0.55	0.48	0.46	0.58	0.39	0.46	0.47	0.71
Celery	All Washed	-	£/kg	0.47				1.01	0.76	0.62	0.52	0.49	0.47	0.51	0.62
Courgettes	All Varieties	-	£/kg						0.99	0.77	0.71	0.97	0.93		
Cucumbers	All Varieties	-	£/kg		1.29	0.95	0.71	0.87	0.64	0.68	0.69	0.64	0.64		
Beans	Dwarf, French or Kidney	-	£/kg							2.15	1.42	1.17	1.67		
Leeks	Trimmed	-	£/kg	1.03	0.99	1.07	1.02	0.96	0.96	1.12	1.00	0.95	0.91	0.91	1.09
Lettuce	Butterhead – Indoor	1st	£/head	0.33	0.30	0.37	0.38	0.35	0.30	0.25	0.26	0.28	0.29	0.33	0.34
	Butterhead – Indoor	2nd	£/head	0.33	0.20			0.30	0.22	0.21	0.21	0.22	0.19		0.13
	Butterhead – Indoor	Ave	£/head	0.33	0.30	0.37	0.38	0.35	0.29	0.25	0.26	0.28	0.28	0.33	0.34
	Cos	1st	£/head					0.71	0.49	0.45	0.42	0.44	0.43	0.43	
	Cos	2nd	£/head					0.55	0.31	0.31	0.32	0.29	0.35		
	Cos	Ave	£/head					0.70	0.47	0.43	0.41	0.43	0.43	0.43	
	Crisp-Iceberg Type	1st	£/head					0.52	0.37	0.27	0.35	0.40	0.54	0.62	
	Crisp-Iceberg Type	2nd	£/head					0.38	0.27	0.20	0.22	0.27	0.31	0.38	
	Crisp-Iceberg Type	Ave	£/head					0.51	0.36	0.26	0.33	0.37	0.49	0.57	
	Little Gem	1st	£/twin	0.56	0.65	0.65	0.67	0.59	0.48	0.46	0.44	0.46	0.46	0.54	0.58
	Little Gem	2nd	£/twin					0.40	0.40		0.38	0.30	0.30		
	Little Gem	Ave	£/twin	0.56	0.65	0.65	0.67	0.59	0.47	0.46	0.44	0.46	0.46	0.54	0.58
Mushrooms	Button – Indoor	-	£/kg	1.48	1.18	1.21	1.76		1.65	1.65					
	Cup – Indoor	-	£/kg	1.65	1.10	1.30	1.10	1.09	1.10	1.40	1.10	1.57			
	Flat – Indoor	-	£/kg		1.14	1.26	1.10	1.19	0.87	0.77		0.94	1.76		
Parsnips	All Varieties	-	£/kg	0.78	0.73	0.69	0.66	0.63	0.65	0.90	1.09	0.95	0.86	0.79	0.88
Rhubarb	Forced	-	£/kg	2.56	2.66	3.00	2.84								
	Outdoor	-	£/kg			2.29	1.35	0.96	0.81	0.96	0.92	0.94	1.01		
Runner Beans	Runner-Climbing	-	£/kg						4.96	2.39	1.21	1.02	1.17		
Salad Onions	Salad	-	£/bunch	0.15			0.25	0.24	0.24	0.23	0.22	0.21	0.23	0.20	
Shelling Peas	All Varieties	-	£/kg					3.97	1.85	1.19	1.21	1.23	1.66		
Spinach	Leaf - Loose/bunches	-	£/kg	0.44			1.13	1.09	0.84	0.55	0.68	0.79	0.87	0.84	1.50
Swede	All Varieties	-	£/kg	0.35	0.33	0.31	0.30	0.28	0.33	0.44	0.38	0.36	0.33	0.32	0.33
Sweetcorn	All Varieties	-	£/cob							0.30	0.19	0.18	0.19		
Tomatoes	Round	1st	£/kg		2.10	1.91	1.57	1.01	0.90	0.90	0.90	1.06	1.17	1.11	1.00
	Round	2nd	£/kg				0.92	0.53	0.49	0.61	0.59	0.64	0.73	0.68	0.61
	Round	Ave	£/kg		2.10	1.91	1.56	0.96	0.84	0.86	0.84	1.00	1.11	1.02	0.90
	Vine	1st	£/kg		2.40	1.94	1.63	1.15	0.95	0.99	0.92	0.99	1.11	1.11	1.12
	Vine	2nd	£/kg					0.80	0.58	0.74	0.38	0.83	0.77		
	Vine	Ave	£/kg		2.40	1.94	1.63	1.14	0.95	0.99	0.91	0.98	1.10	1.11	1.12
	Cherry	1st	£/kg			3.68	3.19	2.41	2.15	2.37	2.06	2.12	2.53	2.72	2.30
	Cherry	2nd	£/kg				2.20		1.56		1.60	1.70			
	Cherry	Ave	£/kg			3.68	3.18	2.41	2.14	2.37	2.05	2.11	2.53	2.72	2.30
	Plum	1st	£/kg			1.74	1.50	1.00	0.86	1.00	0.87	1.00	1.05	1.12	0.96
	Plum	2nd	£/kg			1.17		0.63	0.33	0.58		0.58			
	Plum	Ave	£/kg			1.72	1.50	0.99	0.84	0.98	0.87	0.99	1.05	1.12	0.96
Turnip	All Varieties	-	£/kg	0.91	0.76	0.80	0.83	1.10	1.09	1.05	0.95	0.95	0.87	0.82	1.04
Watercress	All Varieties	-	£/bunch	0.51	0.55	0.51	0.50	0.52	0.53	0.52	0.50	0.51	0.50	0.51	0.55
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.88	0.93	0.92	0.94	0.94	0.90	0.82	0.83	0.88	0.90	0.89	0.86
Chrysanthemums	Indoor-bloom	-	£/bloom	0.29	0.16	0.16			0.52	0.51	0.49	0.49	0.43	0.46	0.47
	Indoor-spray	-	£/spray	0.15	0.16	0.18	0.15	0.19	0.17	0.18	0.17	0.17	0.16	0.16	0.14
Gladioli	All Varieties	-	£/bunch(1)							0.55	0.57	0.61	0.62	0.51	
Irises	Indoor	-	£/bunch(1)		0.69	0.67	0.66	0.58	0.57	0.55	0.56	0.56	0.64	0.66	0.66
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.57	0.58	0.44	0.28	0.31						0.49	0.55
Oriental Lilies	Homegrown	-	£/stem	0.57	0.53	0.51		0.72	0.66	0.53	0.56	0.58		0.61	0.62
Pinks	All Varieties	-	£/bunch(3)	0.30				0.50	0.32	0.33	0.33	0.19		0.49	
Tulips	Indoor	-	£/bunch(4)	0.83	0.80	0.84	0.74	0.77						0.75	0.75
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	0.97	1.01	1.15	1.14	1.25	1.23	1.10	1.09	1.13		1.19	1.25
Cyclamen	13cm	-	£ each	1.26	1.09	1.12					0.81	0.96		1.06	1.07
Poinsettia	13cm	-	£ each	2.66										3.00	2.60
Chrysanthemum	13cm	-	£ each	1.07	1.03	1.19	1.20	1.27	1.25	1.16	1.15	1.22		1.21	1.15
2011		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg						7.80	5.51	4.80	6.50	11.08		
Blackcurrants	All Varieties	-	£/kg						7.70	4.89	5.37	5.60			
Cherries	Sweet Black	-	£/kg						2.23	2.39	3.28				
	Sweet White	-	£/kg						2.10	1.94					
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.61	0.62	0.64	0.64	0.66	0.68	0.73	0.67	0.61	0.61	0.64	0.63
	Bramley’s Seedling	2nd	£/kg	0.44	0.46	0.44	0.45	0.48	0.46	0.47	0.49	0.44	0.44	0.42	0.42
	Bramley’s Seedling	Ave	£/kg	0.59	0.60	0.62	0.61	0.64	0.63	0.66	0.65	0.58	0.58	0.59	0.57
Damsons	All Varieties	-	£/kg							1.65	1.12	0.80			
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.76	0.93	1.00	1.03				1.09	0.76	0.67	0.66	0.72
	Cox’s Orange-group	2nd	£/kg	0.46	0.56	0.55	0.78					0.51	0.47	0.43	0.43
	Cox’s Orange-group	Ave	£/kg	0.71	0.89	0.93	1.01				1.09	0.72	0.65	0.62	0.67
	Discovery	1st	£/kg							0.89	0.61				
	Discovery	2nd	£/kg							0.54	0.47	0.44			
	Discovery	Ave	£/kg							0.87	0.60	0.44			
	Egremont Russet	1st	£/kg	0.69	0.80	0.81	1.01					0.76	0.74	0.74	0.69
	Egremont Russet	2nd	£/kg	0.47	0.45	0.44						0.53	0.51	0.43	0.46
	Egremont Russet	Ave	£/kg	0.68	0.78	0.80	1.01					0.75	0.73	0.72	0.68
	Spartan	1st	£/kg	0.66								0.77	0.92	0.53	0.58
	Spartan	2nd	£/kg										0.55	0.55	0.44
	Spartan	Ave	£/kg	0.66								0.77	0.90	0.53	0.54
	Worcester Pearmain	1st	£/kg								0.69	0.60			
	Worcester Pearmain	2nd	£/kg												
	Worcester Pearmain	Ave	£/kg								0.69	0.60			
	Red Pippin	1st	£/kg												
	Red Pippin	2nd	£/kg												
	Red Pippin	Ave	£/kg												
	Gala	1st	£/kg	0.67	0.85	0.80	0.79	0.72				0.68	0.64	0.62	0.71
	Gala	2nd	£/kg	0.50		0.45	0.74					0.50	0.40	0.39	0.45
	Gala	Ave	£/kg	0.67	0.85	0.78	0.78	0.72				0.68	0.62	0.60	0.64
	Other Early Season	-	£/kg								0.61	0.54	0.50	0.49	
	Other Mid Season	-	£/kg	0.61	0.61	0.61	0.76						0.63	0.59	0.60
	Other Late Season	-	£/kg	0.62	0.70	0.69	0.63	0.55					0.69	0.68	0.67
	Jonogold – group	1st	£/kg	0.68	0.56	0.53							0.59	0.60	0.52
	Jonogold – group	2nd	£/kg										0.49		
	Jonogold – group	Ave	£/kg	0.68	0.56	0.53							0.59	0.60	0.52
Gooseberries	All Varieties	-	£/kg					2.65	2.99	2.85	1.76				
Pears	Conference	1st	£/kg	0.58	0.57	0.58	0.57	0.75	0.54	0.83	0.72	0.57	0.55	0.56	0.59
	Conference	2nd	£/kg	0.43	0.46	0.52	0.44	0.38	0.42	0.45	0.54	0.44	0.41	0.43	0.47
	Conference	Ave	£/kg	0.54	0.53	0.55	0.50	0.45	0.43	0.49	0.71	0.55	0.52	0.54	0.55
	Doyenne Du Comice	1st	£/kg	0.60	0.67	0.59	0.66					0.52	0.57	0.58	0.57
	Doyenne Du Comice	2nd	£/kg	0.36	0.39	0.36						0.53	0.41	0.37	0.41
	Doyenne Du Comice	Ave	£/kg	0.59	0.59	0.44	0.66					0.53	0.54	0.54	0.55
	William’s Bon Chretien	1st	£/kg								0.60	0.66			
	William’s Bon Chretien	2nd	£/kg								0.81			0.36	
	William’s Bon Chretien	Ave	£/kg								0.65	0.66		0.36	
	Other	1st	£/kg	0.44						1.06	0.50	0.53	0.41	0.50	
	Other	2nd	£/kg									0.44	0.44		0.42
	Other	Ave	£/kg	0.44						1.06	0.50	0.50	0.42	0.50	0.42
Plums and Gages	Czar	-	£/kg							1.41	1.10				
	Majorie’s Seedling	-	£/kg								0.88	0.74			
	Victoria	-	£/kg							1.67	1.08	0.83			
	Other Varieties	-	£/kg						0.64	0.92	0.83	0.73			
Raspberries	All Varieties	-	£/kg					9.70	6.41	7.34	7.66	7.41	7.33	6.91	7.31
Redcurrants	All Varieties	-	£/kg						6.62	4.56	6.25	7.03			
Strawberries	All Varieties	1st	£/kg				6.20	2.45	2.75	3.16	1.87	2.04	2.55	3.86	
	All Varieties	2nd	£/kg				2.15	1.14	1.33	1.50	0.91	1.09	1.32	1.56	
	All Varieties	Ave	£/kg				3.40	1.97	2.18	2.52	1.57	1.83	2.04	2.49	
VEGETABLES															
Asparagus	All Varieties	-	£/kg			10.26	5.57	4.53	5.58	5.44		8.30	10.08		
Beetroot	Topped	-	£/kg	0.33	0.32	0.34	0.39	0.44	0.47	0.45	0.43	0.35	0.32	0.33	0.32
Broad Beans	Broad	-	£/kg					1.76	1.14	0.86	0.85	0.99		1.16	
Brussels Sprouts	All Varieties	-	£/kg	0.66	0.70	0.68	0.55				0.83	0.72	0.57	0.52	0.51
Bulb Onions	Yellow	-	£/kg	0.36	0.35	0.40	0.38	0.43	0.39	0.30	0.29	0.24	0.21	0.18	0.17
	Red	-	£/kg	0.50	0.48	0.46	0.45	0.44	0.45	0.43	0.46	0.45	0.39	0.36	0.35
Cabbage	Red	-	£/kg	0.42	0.51	0.54	0.51	0.55	0.54	0.46	0.36	0.31	0.30	0.29	0.28
	Savoy	-	£/head	0.40	0.44	0.39	0.40	0.42	0.44	0.38	0.38	0.35	0.32	0.31	0.32
(reported as combined item before 2007)	Spring Greens - Loose	-	£/kg	0.75		0.80	0.74		0.66	0.24		0.58	0.47	0.47	
	Spring Greens - Prepacked	-	£/kg	1.14	1.26	1.16	0.99	0.89	0.79	0.73	0.71	0.73	0.64	0.66	0.68
	Summer & Autumn-Pointed	-	£/kg				0.63	0.55	0.46	0.41	0.40	0.38	0.41	0.41	0.45
	Summer & Autumn Round	-	£/head	0.40				0.48	0.38	0.34	0.33	0.32	0.31	0.30	0.31
	White	-	£/kg	0.39	0.46	0.52	0.54	0.68	0.74	0.41	0.33	0.29	0.27	0.27	0.27
	Winter Other	-	£/head	0.03	0.03	0.03	0.03	0.04						0.30	0.29
Calabrese	All Varieties	-	£/kg					1.68	1.11	0.92	0.97	0.99	0.88	0.89	0.98
Capsicums	Green	1st	£/kg					1.43	0.98	1.14	1.07	1.10		0.59	
	Green	2nd	£/kg					1.48	0.72	0.75	0.70	0.78	0.51	0.40	0.90
	Green	Ave	£/kg					1.45	0.83	0.87	0.85	1.03	0.51	0.42	0.90
	Red	1st	£/kg				2.50	1.35	0.97	0.92	1.16	1.25		0.72	
	Red	2nd	£/kg					1.70	0.68	0.61	0.61	0.78	0.45	0.49	0.59
	Red	Ave	£/kg				2.50	1.52	0.85	0.75	0.94	1.03	0.45	0.52	0.59
Carrots	Topped-Washed	-	£/kg	0.38	0.39	0.39	0.39	0.44	0.45	0.37	0.31	0.28	0.26	0.26	0.26
Cauliflowers	Kent	-	£/head	0.66	0.53	0.44	0.57	1.10	0.65	0.37	0.51	0.54	0.41	0.37	0.59
	All Other	-	£/head	0.63	0.57	0.58	0.47	0.67	0.57	0.46	0.45	0.47	0.37	0.35	0.53
Celery	All Washed	-	£/kg						0.68	0.60	0.58	0.53	0.54	0.50	0.57
Courgettes	All Varieties	-	£/kg					0.82	0.99	0.87	0.78	0.91	0.91		
Cucumbers	All Varieties	-	£/kg		0.62	0.69	0.72	0.70	0.55	0.64	0.65	0.67	0.66	0.66	0.40
Beans	Dwarf, French or Kidney	-	£/kg							2.02	1.70	1.53	1.92		
Leeks	Trimmed	-	£/kg	1.24	1.00	1.02	0.90	0.88	1.33	1.17	1.00	0.87	0.78	0.76	0.78
Lettuce	Butterhead – Indoor	1st	£/head	0.38	0.36	0.34	0.30	0.29	0.28	0.27	0.27	0.28	0.31	0.31	0.30
	Butterhead – Indoor	2nd	£/head					0.25	0.25	0.25	0.23	0.21	0.25	0.27	0.28
	Butterhead – Indoor	Ave	£/head	0.38	0.36	0.34	0.30	0.29	0.28	0.27	0.26	0.28	0.30	0.31	0.30
	Cos	1st	£/head				0.60	0.49	0.44	0.45	0.44	0.47	0.47	0.44	
	Cos	2nd	£/head					0.38	0.32	0.31	0.31	0.29	0.34		
	Cos	Ave	£/head				0.60	0.49	0.43	0.44	0.43	0.46	0.46	0.44	
	Crisp-Iceberg Type	1st	£/head				0.33	0.30	0.29	0.27	0.27	0.37	0.33	0.30	
	Crisp-Iceberg Type	2nd	£/head					0.17	0.17	0.16	0.19	0.24	0.23		
	Crisp-Iceberg Type	Ave	£/head				0.33	0.29	0.27	0.25	0.25	0.35	0.31	0.30	
	Little Gem	1st	£/twin	0.67	0.60	0.54	0.53	0.47	0.46	0.47	0.45	0.47	0.51	0.49	0.52
	Little Gem	2nd	£/twin					0.30	0.29	0.30	0.31	0.32	0.33		
	Little Gem	Ave	£/twin	0.67	0.60	0.54	0.53	0.47	0.45	0.46	0.44	0.46	0.50	0.49	0.52
Mushrooms	Button – Indoor	-	£/kg	1.05											
	Cup – Indoor	-	£/kg	1.05		1.05	1.38	1.19	1.18	1.10	1.26	1.38		1.10	
	Flat – Indoor	-	£/kg	1.37		0.77	2.12	0.90	0.61	0.55	1.10		0.99	0.88	
Parsnips	All Varieties	-	£/kg	0.86	0.80	0.77	0.75	0.76	1.03	1.53	1.15	0.95	0.84	0.83	0.85
Rhubarb	Forced	-	£/kg	3.23	2.81	2.30	2.02								
	Outdoor	-	£/kg		2.57	1.55	1.00	0.94	1.47	1.32	0.95	0.92	1.10	1.10	
Runner Beans	Runner-Climbing	-	£/kg						3.12	1.69	1.28	1.04	1.11		
Salad Onions	Salad	-	£/bunch				0.27	0.25	0.23	0.23	0.22	0.22	0.22	0.20	
Shelling Peas	All Varieties	-	£/kg					2.01	1.46	1.25	1.21	1.46	0.17		
Spinach	Leaf - Loose/bunches	-	£/kg				0.78	0.78	0.75	0.67	0.63	0.59	0.58	0.55	0.89
Swede	All Varieties	-	£/kg	0.33	0.33	0.31	0.30	0.28	0.54	0.55	0.43	0.36	0.31	0.30	0.29
Sweetcorn	All Varieties	-	£/cob							0.28	0.21	0.18	0.18	0.25	
Tomatoes	Round	1st	£/kg			1.45	1.24	0.90	0.74	0.73	0.71	0.81	0.95	0.78	0.60
	Round	2nd	£/kg			0.98	0.61	0.54	0.43	0.41	0.45	0.44	0.52	0.41	
	Round	Ave	£/kg			1.39	1.21	0.89	0.72	0.67	0.64	0.69	0.75	0.62	0.60
	Vine	1st	£/kg			1.58	1.46	1.29	0.77	0.85	0.71	0.78	0.86	0.99	
	Vine	2nd	£/kg					0.63	0.44	0.46	0.48			0.42	0.42
	Vine	Ave	£/kg			1.58	1.46	1.24	0.76	0.76	0.61	0.78	0.86	0.60	0.42
	Cherry	1st	£/kg				2.84	2.01	1.64	2.15	1.92	2.05	2.17	1.96	
	Cherry	2nd	£/kg								1.45	1.28	1.80		
	Cherry	Ave	£/kg				2.84	2.01	1.64	2.15	1.80	1.96	2.09	1.96	
	Plum	1st	£/kg				1.69	1.28	0.93	0.83	0.82	0.89	1.07	1.17	
	Plum	2nd	£/kg						0.50			0.21		0.58	
	Plum	Ave	£/kg				1.69	1.28	0.78	0.83	0.82	0.86	1.07	0.75	
Turnip	All Varieties	-	£/kg	1.01	0.97	0.98	1.03	0.97	0.99	0.97	0.76	0.71	0.72	0.82	0.86
Watercress	All Varieties	-	£/bunch	0.56	0.52	0.51	0.52	0.54	0.53	0.50	0.49	0.49	0.50	0.49	0.51
CUT FLOWERS															
Alstromeria	Indoor	-	£/bunch(1)	0.86	0.85	0.81	0.89	0.81	0.99	0.98	0.91	0.98	0.96	1.04	1.14
Chrysanthemums	Indoor-bloom	-	£/bloom	0.63			1.60	0.49			0.42	0.41	0.40	0.42	0.63
	Indoor-spray	-	£/spray	0.23	0.25	0.28	0.25	0.29	0.23	0.23	0.20	0.21	0.16	0.16	0.19
Gladioli	All Varieties	-	£/bunch(1)						0.82	0.79	0.69	0.66	0.56	0.62	
Irises	Indoor	-	£/bunch(1)			0.40	0.59	0.50	0.53	0.59		0.75	0.67	0.63	
Narcissus-inc.Daffodils	Indoor		£/bunch(2)	0.67	0.62	0.41	0.31						0.58	0.59	0.56
Oriental Lilies	Homegrown	-	£/stem	0.58	0.80	0.78	0.66	0.73	0.71	0.70	0.66	0.65	0.64	0.63	0.64
Pinks	All Varieties	-	£/bunch(3)			1.23		0.52	0.49	0.52	0.45	0.51	0.31	0.35	
Tulips	Indoor	-	£/bunch(4)	0.87	0.86	0.86	0.75	0.58	0.50						0.95
POT PLANTS															
Begonia-Elatior	13cm	-	£ each	0.90	1.02	1.15	1.10	1.25	1.18	1.20	1.12	1.13	1.10	1.01	1.25
Cyclamen	13cm	-	£ each	1.18	1.13	1.15	0.87	0.70		1.60	1.11	0.92	0.93	0.93	1.01
Poinsettia	13cm	-	£ each											2.29	2.32
Chrysanthemum	13cm	-	£ each	1.17	1.17	1.15	1.18	1.31	1.16	1.25	1.28	1.28	1.21	1.24	1.19
2012		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
FRUIT															
Blackberries	All Varieties	-	£/kg						8.94	5.29	5.36	6.25	6.84	14.40	
Blackcurrants	All Varieties	-	£/kg							5.34	6.53	6.95			
Cherries	Sweet Black	-	£/kg						3.10	3.34	2.52	2.91			
	Sweet White	-	£/kg							3.12	2.31				
Cooking Apples	Bramley’s Seedling	1st	£/kg	0.67	0.66	0.63	0.71	0.74	0.87	1.08	0.94	0.77	0.92	0.97	1.04
	Bramley’s Seedling	2nd	£/kg	0.43	0.46	0.44	0.47	0.55	0.60	0.54	0.52	0.52	0.53	0.55	0.71
	Bramley’s Seedling	Ave	£/kg	0.61	0.61	0.59	0.66	0.71	0.84	0.88	0.86	0.75	0.90	0.94	1.01
Damsons	All Varieties	-	£/kg								1.96	1.53	0.99		
Dessert Apples	Cox’s Orange-group	1st	£/kg	0.75	0.79	0.83	0.91	0.86				0.98	0.90	0.81	0.90
	Cox’s Orange-group	2nd	£/kg	0.44	0.47	0.47	0.49					0.65	0.50	0.41	0.54
	Cox’s Orange-group	Ave	£/kg	0.71	0.75	0.80	0.84	0.86				0.98	0.88	0.77	0.87
	Discovery	1st	£/kg								0.91	0.67			
	Discovery	2nd	£/kg								0.67	0.55			
	Discovery	Ave	£/kg								0.90	0.66			
	Egremont Russet	1st	£/kg	0.75	0.88	0.97						0.95	0.87	0.85	0.89
	Egremont Russet	2nd	£/kg	0.49									0.61	0.44	0.66
	Egremont Russet	Ave	£/kg	0.71	0.88	0.97						0.95	0.87	0.84	0.88
	Spartan	1st	£/kg										1.06	0.86	
	Spartan	2nd	£/kg	0.40									0.51		
	Spartan	Ave	£/kg	0.40									0.79	0.86	
	Worcester Pearmain	1st	£/kg								0.66	0.78	0.65		
	Worcester Pearmain	2nd	£/kg									0.66			
	Worcester Pearmain	Ave	£/kg								0.66	0.78	0.65		
	Red Pippin	1st	£/kg										0.61	0.69	
	Red Pippin	2nd	£/kg										0.83		
	Red Pippin	Ave	£/kg										0.70	0.69	
	Gala	1st	£/kg	0.69	0.68	0.73	0.81	0.74				0.79	0.83	0.76	0.81
	Gala	2nd	£/kg	0.40	0.53	0.60	0.66						0.64	0.42	0.49
	Gala	Ave	£/kg	0.68	0.68	0.73	0.81	0.74				0.79	0.81	0.72	0.79
	Other Early Season	-	£/kg				0.93					0.73	0.81	0.82	
	Other Mid Season	-	£/kg	0.59	0.53	0.77	0.72						0.60	0.63	0.71
	Other Late Season	-	£/kg	0.65	0.67	0.63	0.82	0.89					0.77	0.78	0.73
	Jonogold – group	1st	£/kg		0.53								0.78	0.73	0.66
	Jonogold – group	2nd	£/kg		0.49								0.63		
	Jonogold – group	Ave	£/kg		0.50								0.77	0.73	0.66
Gooseberries	All Varieties	-	£/kg						4.34	2.42	2.43				
Pears	Conference	1st	£/kg	0.57	0.58	0.57	0.67	0.52			1.06	0.76	0.69	0.70	0.70
	Conference	2nd	£/kg	0.44	0.43	0.45	0.45	0.51	0.40			0.61	0.57	0.51	0.55
	Conference	Ave	£/kg	0.52	0.54	0.52	0.55	0.51	0.40		1.06	0.75	0.67	0.67	0.67
	Doyenne Du Comice	1st	£/kg	0.61	0.65	0.62	0.69	0.60					0.56	0.70	0.76
	Doyenne Du Comice	2nd	£/kg	0.38	0.44	0.33	0.27	0.42					0.65	0.59	0.62
	Doyenne Du Comice	Ave	£/kg	0.55	0.63	0.57	0.55	0.49					0.60	0.69	0.75
	William’s Bon Chretien	1st	£/kg									0.78			
	William’s Bon Chretien	2nd	£/kg												
	William’s Bon Chretien	Ave	£/kg									0.78			
	Other	1st	£/kg	0.50								0.73	0.53	0.55	0.68
	Other	2nd	£/kg	0.37											
	Other	Ave	£/kg	0.39								0.73	0.53	0.55	0.68
Plums and Gages	Czar	-	£/kg								0.88				
	Majorie’s Seedling	-	£/kg									1.31			
	Victoria	-	£/kg								1.70	1.40			
	Other Varieties	-	£/kg								1.38	1.26	1.61		
Raspberries	All Varieties	-	£/kg					9.68	8.82	4.72	6.65	7.26	6.96	7.24	3.60
Redcurrants	All Varieties	-	£/kg							5.52	6.57	8.34			
Strawberries	All Varieties	1st	£/kg				3.48	3.26	2.74	2.13	2.12	2.02	2.97	2.03	
	All Varieties	2nd	£/kg			1.98	1.80	1.36	1.21	0.80	0.96	1.01	1.31	1.18	1.21
	All Varieties	Ave	£/kg			1.98	2.06	2.20	2.27	1.75	1.82	1.85	2.17	1.74	1.21
VEGETABLES															
Asparagus	All Varieties	-	£/kg			10.12	8.49	6.77	5.85	7.67	8.40	7.80	9.03		
Beetroot	Topped	-	£/kg	0.31	0.33	0.32	0.36	0.32	0.35	0.43	0.43	0.39	0.37	0.38	0.37
