2004		Quality	Units	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
	Egremont Russet	1st	£/kg	0.58	0.52	0.48					0.66	0.63	0.52	0.67	0.68
	Egremont Russet	2nd	£/kg	0.35	0.32	0.29						0.54	0.45	0.46	0.45
	Egremont Russet	Ave	£/kg	0.54	0.47	0.42						0.62	0.50	0.65	0.65
	Spartan	1st	£/kg	0.44								0.28	0.44	0.43	0.50
	Spartan	2nd	£/kg										0.34	0.32	
	Spartan	Ave	£/kg										0.43	0.42	
	Worcester Pearmain	1st	£/kg								0.47	0.41	0.46		
	Worcester Pearmain	2nd	£/kg								0.50	0.39	0.30		
	Worcester Pearmain	Ave	£/kg								0.47	0.41	0.43		
	Red Pippin	1st	£/kg									0.62	0.44		
	Red Pippin	2nd	£/kg												
	Red Pippin	Ave	£/kg												
	Gala	1st	£/kg	0.41	0.43	0.44	0.40					0.40	0.45	0.44	0.45
	Gala	2nd	£/kg	0.27	0.26	0.28	0.26	0.26				0.51	0.40	0.32	0.26
	Gala	Ave	£/kg	0.39	0.40	0.37	0.29					0.40	0.44	0.42	0.39
	Other Early Season	-	£/kg								0.53	0.50	0.47		
	Other Mid Season	-	£/kg		0.39								0.44		
	Other Late Season	-	£/kg	0.44	0.48	0.48	0.47	0.43					0.37	0.43	0.51
	Jonogold – group	1st	£/kg	0.44	0.48	0.45	0.48	0.46	0.44	0.44			0.45	0.41	0.39
	Jonogold – group	2nd	£/kg		0.29		0.36	0.33	0.35				0.32	0.33	
	Jonogold – group	Ave	£/kg		0.42		0.47	0.45	0.38				0.43	0.40	
Gooseberries	All Varieties	-	£/kg						1.71	1.57					
Pears	Conference	1st	£/kg	0.43	0.47	0.44	0.48	0.54	0.49	0.44	0.60	0.45	0.45	0.44	0.47
	Conference	2nd	£/kg	0.28	0.30	0.30	0.34	0.40	0.38	0.29	0.37	0.34	0.29	0.32	0.33
	Conference	Ave	£/kg	0.36	0.41	0.36	0.39	0.48	0.44	0.40	0.58	0.42	0.41	0.40	0.42
	Doyenne Du Comice	1st	£/kg	0.47	0.53	0.56						0.55	0.48	0.50	0.52
	Doyenne Du Comice	2nd	£/kg	0.31	0.27	0.28							0.35	0.34	0.35
	Doyenne Du Comice	Ave	£/kg	0.40	0.49	0.46							0.45	0.45	0.46
	William’s Bon Chretien	1st	£/kg								0.41	0.47			
	William’s Bon Chretien	2nd	£/kg								0.49	0.28			
	William’s Bon Chretien	Ave	£/kg								0.42	0.41			
	Other	1st	£/kg	0.33		0.33					0.51	0.39	0.39	0.44	
	Other	2nd	£/kg	0.39	0.31	0.22								0.36	
	Other	Ave	£/kg	0.33		0.30								0.43	
Plums and Gages	Czar	1st	£/kg												
	Czar	2nd	£/kg												
	Czar	Ave	£/kg												
	Majorie’s Seedling	1st	£/kg								0.71	0.60			
	Majorie’s Seedling	2nd	£/kg									0.49			
	Majorie’s Seedling	Ave	£/kg									0.60			
	Victoria	1st	£/kg								0.82	0.71			
	Victoria	2nd	£/kg								0.56	0.46			
	Victoria	Ave	£/kg								0.75	0.63			
	Other Varieties	-	£/kg							0.66	0.61	0.50			
Raspberries	All Varieties	-	£/kg					6.78	6.72	4.38	5.91	4.82	5.40	6.35	4.60
Redcurrants	All Varieties	-	£/kg							4.32	7.20	4.48			
Strawberries	All Varieties	1st	£/kg				4.78	2.20	2.12	1.55	2.45	1.58	1.66		
	All Varieties	2nd	£/kg				1.91	1.37	1.20	0.79	1.40	0.90	0.96	1.10	2.28
