LAESTAB,URN,COHORT,OVERALL_DEST,APPREN,EMPLOYMENT,EDUCATION,FE,6TH_COL,SCH_6TH,OTHER_EDU,NOT_SUSTAINED,UNKNOWN,OVERALL_DESTPER,APPRENPER,EMPLOYMENTPER,EDUCATIONPER,FEPER,6TH_COLPER,SCH_6THPER,OTHER_EDUPER,NOT_SUSTAINEDPER,UNKNOWNPER
8554505,137640,486,452,33,25,427,157,18,249,3,30,4,93%,7%,5%,88%,32%,4%,51%,1%,6%,1%
8554508,138833,552,526,47,33,493,227,SUPP,264,SUPP,20,6,95%,9%,6%,89%,41%,SUPP,48%,SUPP,4%,1%
8554601,138298,207,205,17,4,201,73,SUPP,124,SUPP,SUPP,SUPP,99%,8%,2%,97%,35%,SUPP,60%,SUPP,SUPP,SUPP
8555400,138628,161,138,9,10,128,66,6,53,3,SUPP,SUPP,86%,6%,6%,80%,41%,4%,33%,2%,SUPP,SUPP
8557002,120348,26,25,0,SUPP,SUPP,4,SUPP,SUPP,20,SUPP,SUPP,96%,0%,SUPP,SUPP,15%,SUPP,SUPP,77%,SUPP,SUPP
8557005,138935,11,11,0,0,11,0,0,0,11,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
8557006,120352,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8557008,137905,15,15,0,0,15,SUPP,0,SUPP,14,0,0,100%,0%,0%,100%,SUPP,0%,SUPP,93%,0%,0%
8557215,134640,19,18,0,SUPP,SUPP,SUPP,0,SUPP,17,SUPP,SUPP,95%,0%,SUPP,SUPP,SUPP,0%,SUPP,89%,SUPP,SUPP
8557216,138156,17,17,0,0,17,0,0,0,17,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
LA,855,7245,6840,580,330,6510,2545,355,3465,145,370,35,94%,8%,5%,90%,35%,5%,48%,2%,5%,SP
8564000,138869,58,49,0,SUPP,SUPP,SUPP,35,6,SUPP,SUPP,SUPP,84%,0%,SUPP,SUPP,SUPP,60%,10%,SUPP,SUPP,SUPP
8564005,131945,130,113,3,3,110,52,42,16,0,SUPP,SUPP,87%,2%,2%,85%,40%,32%,12%,0%,SUPP,SUPP
8564205,120277,236,217,4,SUPP,SUPP,39,163,SUPP,0,13,6,92%,2%,SUPP,SUPP,17%,69%,SUPP,0%,6%,3%
8564232,120279,240,217,10,SUPP,SUPP,47,138,SUPP,0,16,7,90%,4%,SUPP,SUPP,20%,58%,SUPP,0%,7%,3%
8564242,120281,214,195,13,13,182,96,77,SUPP,SUPP,SUPP,SUPP,91%,6%,6%,85%,45%,36%,SUPP,SUPP,SUPP,SUPP
8564244,120282,266,253,SUPP,4,249,52,160,37,0,10,3,95%,SUPP,2%,94%,20%,60%,14%,0%,4%,1%
8564246,120283,180,162,5,SUPP,SUPP,59,86,SUPP,0,SUPP,SUPP,90%,3%,SUPP,SUPP,33%,48%,SUPP,0%,SUPP,SUPP
8564249,120285,185,159,8,9,150,68,78,4,0,23,3,86%,4%,5%,81%,37%,42%,2%,0%,12%,2%
8564250,120286,255,241,3,7,234,44,164,22,4,SUPP,SUPP,95%,1%,3%,92%,17%,64%,9%,2%,SUPP,SUPP
8564251,120287,242,224,3,3,221,34,148,35,4,14,4,93%,1%,1%,91%,14%,61%,14%,2%,6%,2%
8564267,120292,205,180,SUPP,SUPP,SUPP,32,129,SUPP,0,18,7,88%,SUPP,SUPP,SUPP,16%,63%,SUPP,0%,9%,3%
8564270,120294,135,113,6,4,109,56,50,3,0,19,3,84%,4%,3%,81%,41%,37%,2%,0%,14%,2%
8564273,120297,217,203,10,6,197,30,40,127,0,SUPP,SUPP,94%,5%,3%,91%,14%,18%,59%,0%,SUPP,SUPP
8564274,120298,157,131,12,11,120,65,49,6,0,SUPP,SUPP,83%,8%,7%,76%,41%,31%,4%,0%,SUPP,SUPP
8564721,120306,178,174,11,6,168,54,SUPP,71,SUPP,SUPP,SUPP,98%,6%,3%,94%,30%,SUPP,40%,SUPP,SUPP,SUPP
8564723,120307,181,171,10,5,166,43,27,96,0,SUPP,SUPP,94%,6%,3%,92%,24%,15%,53%,0%,SUPP,SUPP
8564724,129645,60,52,3,SUPP,SUPP,SUPP,31,13,SUPP,SUPP,SUPP,87%,5%,SUPP,SUPP,SUPP,52%,22%,SUPP,SUPP,SUPP
8566905,128364,112,83,6,11,72,55,15,SUPP,SUPP,26,3,74%,5%,10%,64%,49%,13%,SUPP,SUPP,23%,3%
8567003,138094,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8567213,120361,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8567215,120362,17,9,SUPP,5,4,4,0,0,0,8,0,53%,SUPP,29%,24%,24%,0%,0%,0%,47%,0%
8567218,130371,36,35,0,SUPP,SUPP,SUPP,0,SUPP,29,SUPP,SUPP,97%,0%,SUPP,SUPP,SUPP,0%,SUPP,81%,SUPP,SUPP
8567220,131187,13,7,0,SUPP,SUPP,4,SUPP,0,SUPP,SUPP,SUPP,54%,0%,SUPP,SUPP,31%,SUPP,0%,SUPP,SUPP,SUPP
8567221,131099,17,17,0,0,17,SUPP,0,SUPP,16,0,0,100%,0%,0%,100%,SUPP,0%,SUPP,94%,0%,0%
LA,856,3345,3020,110,100,2920,850,1475,520,75,265,60,90%,3%,3%,87%,25%,44%,16%,2%,8%,2%
8575404,136629,165,158,10,3,155,69,15,62,9,7,0,96%,6%,2%,94%,42%,9%,38%,5%,4%,0%
8575405,137340,141,129,7,5,124,64,0,60,0,SUPP,SUPP,91%,5%,4%,88%,45%,0%,43%,0%,SUPP,SUPP
8575406,136530,158,151,7,4,147,52,0,76,19,SUPP,SUPP,96%,4%,3%,93%,33%,0%,48%,12%,SUPP,SUPP
LA,857,465,440,25,10,425,185,15,200,30,25,5,94%,5%,3%,92%,40%,3%,43%,6%,5%,1%
8604002,137100,140,130,18,6,124,65,SUPP,56,SUPP,SUPP,SUPP,93%,13%,4%,89%,46%,SUPP,40%,SUPP,SUPP,SUPP
8604003,137103,130,121,15,8,113,68,SUPP,44,SUPP,9,0,93%,12%,6%,87%,52%,SUPP,34%,SUPP,7%,0%
8604004,137146,148,136,10,10,126,64,0,58,4,12,0,92%,7%,7%,85%,43%,0%,39%,3%,8%,0%
8604005,137164,99,96,3,5,91,46,SUPP,41,SUPP,3,0,97%,3%,5%,92%,46%,SUPP,41%,SUPP,3%,0%
8604006,138435,177,166,6,13,153,108,SUPP,44,SUPP,SUPP,SUPP,94%,3%,7%,86%,61%,SUPP,25%,SUPP,SUPP,SUPP
8604007,138351,32,30,4,4,26,15,SUPP,10,SUPP,SUPP,SUPP,94%,13%,13%,81%,47%,SUPP,31%,SUPP,SUPP,SUPP
8604051,124391,117,112,8,5,107,43,SUPP,63,SUPP,5,0,96%,7%,4%,91%,37%,SUPP,54%,SUPP,4%,0%
8604055,124392,161,153,6,4,149,73,SUPP,75,SUPP,8,0,95%,4%,2%,93%,45%,SUPP,47%,SUPP,5%,0%
8604060,124393,153,148,19,13,135,132,0,SUPP,SUPP,5,0,97%,12%,8%,88%,86%,0%,SUPP,SUPP,3%,0%
8604061,136323,224,221,16,5,216,70,SUPP,144,SUPP,3,0,99%,7%,2%,96%,31%,SUPP,64%,SUPP,1%,0%
8604066,124395,102,94,8,8,86,47,SUPP,38,SUPP,SUPP,SUPP,92%,8%,8%,84%,46%,SUPP,37%,SUPP,SUPP,SUPP
8604067,124396,178,173,20,10,163,56,SUPP,73,SUPP,SUPP,SUPP,97%,11%,6%,92%,31%,SUPP,41%,SUPP,SUPP,SUPP
8604070,142313,222,214,23,SUPP,SUPP,107,SUPP,98,SUPP,8,0,96%,10%,SUPP,SUPP,48%,SUPP,44%,SUPP,4%,0%
8604072,124399,143,136,16,6,130,68,26,36,0,7,0,95%,11%,4%,91%,48%,18%,25%,0%,5%,0%
8604075,124400,222,217,13,SUPP,SUPP,56,SUPP,150,SUPP,5,0,98%,6%,SUPP,SUPP,25%,SUPP,68%,SUPP,2%,0%
8604077,124401,138,134,19,5,129,64,SUPP,34,SUPP,4,0,97%,14%,4%,93%,46%,SUPP,25%,SUPP,3%,0%
8604079,124402,184,176,28,6,170,93,0,77,0,SUPP,SUPP,96%,15%,3%,92%,51%,0%,42%,0%,SUPP,SUPP
8604084,139708,132,126,12,8,118,96,8,14,0,SUPP,SUPP,95%,9%,6%,89%,73%,6%,11%,0%,SUPP,SUPP
8604085,124406,113,108,18,9,99,56,SUPP,41,SUPP,5,0,96%,16%,8%,88%,50%,SUPP,36%,SUPP,4%,0%
8604086,124407,198,191,8,4,187,65,SUPP,118,SUPP,SUPP,SUPP,96%,4%,2%,94%,33%,SUPP,60%,SUPP,SUPP,SUPP
8604087,124408,208,203,13,3,200,55,0,145,0,SUPP,SUPP,98%,6%,1%,96%,26%,0%,70%,0%,SUPP,SUPP
8604089,124409,91,91,10,8,83,30,SUPP,51,SUPP,0,0,100%,11%,9%,91%,33%,SUPP,56%,SUPP,0%,0%
8604090,140154,133,128,15,7,121,102,SUPP,14,SUPP,SUPP,SUPP,96%,11%,5%,91%,77%,SUPP,11%,SUPP,SUPP,SUPP
8604093,140470,100,90,9,7,83,77,3,3,0,10,0,90%,9%,7%,83%,77%,3%,3%,0%,10%,0%
8604094,124412,194,186,9,7,179,138,21,SUPP,SUPP,SUPP,SUPP,96%,5%,4%,92%,71%,11%,SUPP,SUPP,SUPP,SUPP
8604096,124413,94,88,8,5,83,80,SUPP,SUPP,0,6,0,94%,9%,5%,88%,85%,SUPP,SUPP,0%,6%,0%
8604100,124415,213,202,20,7,195,102,SUPP,89,SUPP,11,0,95%,9%,3%,92%,48%,SUPP,42%,SUPP,5%,0%
8604111,124416,186,182,18,6,176,64,SUPP,110,SUPP,4,0,98%,10%,3%,95%,34%,SUPP,59%,SUPP,2%,0%
8604112,140123,224,212,13,11,201,71,SUPP,122,SUPP,SUPP,SUPP,95%,6%,5%,90%,32%,SUPP,54%,SUPP,SUPP,SUPP
8604123,138936,204,190,9,11,179,111,0,65,3,SUPP,SUPP,93%,4%,5%,88%,54%,0%,32%,1%,SUPP,SUPP
8604126,124422,209,204,14,6,198,74,SUPP,120,SUPP,5,0,98%,7%,3%,95%,35%,SUPP,57%,SUPP,2%,0%
8604140,124425,224,216,15,10,206,85,SUPP,120,SUPP,SUPP,SUPP,96%,7%,4%,92%,38%,SUPP,54%,SUPP,SUPP,SUPP
8604143,137356,192,190,12,12,178,59,SUPP,113,SUPP,SUPP,SUPP,99%,6%,6%,93%,31%,SUPP,59%,SUPP,SUPP,SUPP
8604146,124430,295,278,23,13,265,116,6,140,3,SUPP,SUPP,94%,8%,4%,90%,39%,2%,47%,1%,SUPP,SUPP
8604153,136959,109,101,9,4,97,42,SUPP,54,SUPP,8,0,93%,8%,4%,89%,39%,SUPP,50%,SUPP,7%,0%
8604158,138728,182,173,13,12,161,76,0,85,0,9,0,95%,7%,7%,88%,42%,0%,47%,0%,5%,0%
8604176,136414,306,293,17,9,284,116,0,165,3,SUPP,SUPP,96%,6%,3%,93%,38%,0%,54%,1%,SUPP,SUPP
8604178,124443,214,208,17,3,205,99,SUPP,104,SUPP,6,0,97%,8%,1%,96%,46%,SUPP,49%,SUPP,3%,0%
8604180,124444,162,154,11,SUPP,SUPP,95,SUPP,55,SUPP,SUPP,SUPP,95%,7%,SUPP,SUPP,59%,SUPP,34%,SUPP,SUPP,SUPP
8604181,124445,155,145,7,7,138,87,SUPP,46,SUPP,10,0,94%,5%,5%,89%,56%,SUPP,30%,SUPP,6%,0%
8604183,137553,149,140,12,7,133,75,SUPP,57,SUPP,SUPP,SUPP,94%,8%,5%,89%,50%,SUPP,38%,SUPP,SUPP,SUPP
8604500,124449,122,112,6,6,106,46,0,57,3,10,0,92%,5%,5%,87%,38%,0%,47%,2%,8%,0%
8604607,124455,146,142,5,SUPP,SUPP,84,SUPP,52,SUPP,SUPP,SUPP,97%,3%,SUPP,SUPP,58%,SUPP,36%,SUPP,SUPP,SUPP
8604610,138729,174,165,13,SUPP,SUPP,48,19,94,SUPP,SUPP,SUPP,95%,7%,SUPP,SUPP,28%,11%,54%,SUPP,SUPP,SUPP
8604710,124459,122,121,7,5,116,43,SUPP,71,SUPP,SUPP,SUPP,99%,6%,4%,95%,35%,SUPP,58%,SUPP,SUPP,SUPP
8604713,140802,161,152,10,SUPP,SUPP,73,SUPP,63,0,9,0,94%,6%,SUPP,SUPP,45%,SUPP,39%,0%,6%,0%
8605401,137384,231,209,21,12,197,120,SUPP,75,SUPP,SUPP,SUPP,90%,9%,5%,85%,52%,SUPP,32%,SUPP,SUPP,SUPP
8605402,124467,60,59,3,3,56,32,0,24,0,SUPP,SUPP,98%,5%,5%,93%,53%,0%,40%,0%,SUPP,SUPP
8605403,124468,155,151,6,8,143,65,SUPP,77,SUPP,4,0,97%,4%,5%,92%,42%,SUPP,50%,SUPP,3%,0%
8605404,136886,161,157,14,8,149,75,SUPP,72,SUPP,4,0,98%,9%,5%,93%,47%,SUPP,45%,SUPP,2%,0%
8606905,136136,165,151,7,7,144,85,0,59,0,14,0,92%,4%,4%,87%,52%,0%,36%,0%,8%,0%
8606906,139234,130,128,30,4,124,50,SUPP,69,SUPP,SUPP,SUPP,98%,23%,3%,95%,38%,SUPP,53%,SUPP,SUPP,SUPP
8607015,124504,22,22,0,0,22,0,0,0,22,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
8607023,124508,27,27,0,SUPP,SUPP,SUPP,0,SUPP,14,0,0,100%,0%,SUPP,SUPP,SUPP,0%,SUPP,52%,0%,0%
8607024,142170,13,8,0,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,62%,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
8607026,141448,13,13,0,0,13,3,0,0,10,0,0,100%,0%,0%,100%,23%,0%,0%,77%,0%,0%
8607027,141449,17,17,0,0,17,6,0,0,11,0,0,100%,0%,0%,100%,35%,0%,0%,65%,0%,0%
8607028,124512,16,16,0,0,16,0,0,0,16,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
8607030,124513,24,23,0,SUPP,SUPP,SUPP,0,SUPP,17,SUPP,SUPP,96%,0%,SUPP,SUPP,SUPP,0%,SUPP,71%,SUPP,SUPP
8607039,124520,8,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8607041,124521,28,28,0,0,28,12,0,0,16,0,0,100%,0%,0%,100%,43%,0%,0%,57%,0%,0%
8607043,124523,10,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,860,9315,8895,715,365,8530,4265,265,3765,230,385,30,96%,8%,4%,92%,46%,3%,40%,2%,4%,SP
8614000,136824,218,202,9,7,195,117,57,SUPP,SUPP,13,3,93%,4%,3%,89%,54%,26%,SUPP,SUPP,6%,1%
8614001,138256,27,21,4,SUPP,SUPP,13,5,SUPP,SUPP,SUPP,SUPP,78%,15%,SUPP,SUPP,48%,19%,SUPP,SUPP,SUPP,SUPP
8614002,139068,172,157,11,8,149,95,47,4,3,15,0,91%,6%,5%,87%,55%,27%,2%,2%,9%,0%
8614038,140633,166,151,15,5,146,89,50,7,0,15,0,91%,9%,3%,88%,54%,30%,4%,0%,9%,0%
8614042,124388,138,133,23,4,129,101,22,SUPP,SUPP,5,0,96%,17%,3%,93%,73%,16%,SUPP,SUPP,4%,0%
8614044,124389,178,158,16,15,143,98,29,SUPP,SUPP,SUPP,SUPP,89%,9%,8%,80%,55%,16%,SUPP,SUPP,SUPP,SUPP
8614046,124390,142,133,14,6,127,96,30,SUPP,SUPP,9,0,94%,10%,4%,89%,68%,21%,SUPP,SUPP,6%,0%
8614173,138549,206,191,24,12,179,145,27,4,3,15,0,93%,12%,6%,87%,70%,13%,2%,1%,7%,0%
8614711,140149,200,195,10,SUPP,SUPP,117,SUPP,52,0,5,0,98%,5%,SUPP,SUPP,59%,SUPP,26%,0%,3%,0%
8614712,136680,97,85,9,7,78,54,12,9,3,12,0,88%,9%,7%,80%,56%,12%,9%,3%,12%,0%
8614714,136681,240,220,18,14,206,131,72,SUPP,SUPP,SUPP,SUPP,92%,8%,6%,86%,55%,30%,SUPP,SUPP,SUPP,SUPP
8615400,140304,187,173,21,7,166,75,26,61,4,14,0,93%,11%,4%,89%,40%,14%,33%,2%,7%,0%
8615901,136460,151,151,3,SUPP,SUPP,17,SUPP,122,0,0,0,100%,2%,SUPP,SUPP,11%,SUPP,81%,0%,0%,0%
8616905,136102,121,106,SUPP,SUPP,SUPP,67,37,SUPP,SUPP,12,3,88%,SUPP,SUPP,SUPP,55%,31%,SUPP,SUPP,10%,2%
8616906,136145,141,134,16,11,123,77,32,SUPP,SUPP,7,0,95%,11%,8%,87%,55%,23%,SUPP,SUPP,5%,0%
8617005,124498,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8617007,124500,19,18,0,SUPP,SUPP,SUPP,0,SUPP,13,SUPP,SUPP,95%,0%,SUPP,SUPP,SUPP,0%,SUPP,68%,SUPP,SUPP
8617008,124501,24,23,0,3,20,13,0,0,7,SUPP,SUPP,96%,0%,13%,83%,54%,0%,0%,29%,SUPP,SUPP
8617011,124503,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
LA,861,2435,2260,195,105,2155,1315,480,315,45,170,10,93%,8%,4%,88%,54%,20%,13%,2%,7%,SP
8654000,131969,161,151,9,8,143,58,0,82,3,SUPP,SUPP,94%,6%,5%,89%,36%,0%,51%,2%,SUPP,SUPP
8654001,134199,75,70,10,12,58,29,7,22,0,5,0,93%,13%,16%,77%,39%,9%,29%,0%,7%,0%
8654002,138885,203,195,14,4,191,98,SUPP,92,SUPP,SUPP,SUPP,96%,7%,2%,94%,48%,SUPP,45%,SUPP,SUPP,SUPP
8654006,126447,112,99,9,8,91,58,SUPP,21,SUPP,SUPP,SUPP,88%,8%,7%,81%,52%,SUPP,19%,SUPP,SUPP,SUPP
8654013,141911,204,193,19,9,184,112,SUPP,71,SUPP,SUPP,SUPP,95%,9%,4%,90%,55%,SUPP,35%,SUPP,SUPP,SUPP
8654064,137308,220,210,17,11,199,50,46,99,4,10,0,95%,8%,5%,90%,23%,21%,45%,2%,5%,0%
8654066,136611,240,228,11,9,219,79,SUPP,138,SUPP,8,4,95%,5%,4%,91%,33%,SUPP,58%,SUPP,3%,2%
8654067,136911,223,208,9,6,202,83,SUPP,109,SUPP,SUPP,SUPP,93%,4%,3%,91%,37%,SUPP,49%,SUPP,SUPP,SUPP
8654070,126458,146,135,11,8,127,110,4,13,0,11,0,92%,8%,5%,87%,75%,3%,9%,0%,8%,0%
8654071,126459,105,95,3,3,92,46,0,46,0,SUPP,SUPP,90%,3%,3%,88%,44%,0%,44%,0%,SUPP,SUPP
8654072,137230,262,247,15,7,240,89,0,142,9,SUPP,SUPP,94%,6%,3%,92%,34%,0%,54%,3%,SUPP,SUPP
8654075,138020,184,173,4,4,169,118,SUPP,51,SUPP,SUPP,SUPP,94%,2%,2%,92%,64%,SUPP,28%,SUPP,SUPP,SUPP
8654511,137827,164,161,5,3,158,64,SUPP,82,SUPP,SUPP,SUPP,98%,3%,2%,96%,39%,SUPP,50%,SUPP,SUPP,SUPP
8654537,137057,227,223,5,3,220,62,0,151,7,SUPP,SUPP,98%,2%,1%,97%,27%,0%,67%,3%,SUPP,SUPP
8654610,126473,82,78,SUPP,3,75,36,7,32,0,4,0,95%,SUPP,4%,91%,44%,9%,39%,0%,5%,0%
8655400,137375,150,145,3,SUPP,SUPP,46,SUPP,92,SUPP,SUPP,SUPP,97%,2%,SUPP,SUPP,31%,SUPP,61%,SUPP,SUPP,SUPP
8655402,136389,132,131,4,SUPP,SUPP,55,SUPP,71,SUPP,SUPP,SUPP,99%,3%,SUPP,SUPP,42%,SUPP,54%,SUPP,SUPP,SUPP
8655403,136849,75,70,6,SUPP,SUPP,59,SUPP,8,SUPP,5,0,93%,8%,SUPP,SUPP,79%,SUPP,11%,SUPP,7%,0%
8655404,136632,283,277,15,8,269,106,SUPP,160,SUPP,6,0,98%,5%,3%,95%,37%,SUPP,57%,SUPP,2%,0%
8655405,138623,274,263,5,SUPP,SUPP,93,SUPP,155,9,SUPP,SUPP,96%,2%,SUPP,SUPP,34%,SUPP,57%,3%,SUPP,SUPP
8655406,137650,191,174,6,4,170,95,SUPP,74,SUPP,14,3,91%,3%,2%,89%,50%,SUPP,39%,SUPP,7%,2%
8655408,142316,217,207,6,6,201,118,76,4,3,10,0,95%,3%,3%,93%,54%,35%,2%,1%,5%,0%
8655411,138630,186,169,9,7,162,95,SUPP,65,SUPP,14,3,91%,5%,4%,87%,51%,SUPP,35%,SUPP,8%,2%
8655412,136391,127,127,0,0,127,5,6,113,3,0,0,100%,0%,0%,100%,4%,5%,89%,2%,0%,0%
8655413,136500,116,116,SUPP,0,116,SUPP,SUPP,111,3,0,0,100%,SUPP,0%,100%,SUPP,SUPP,96%,3%,0%,0%
8655414,136296,261,256,13,4,252,111,SUPP,136,SUPP,SUPP,SUPP,98%,5%,2%,97%,43%,SUPP,52%,SUPP,SUPP,SUPP
8655415,126510,192,186,12,4,182,80,0,98,4,SUPP,SUPP,97%,6%,2%,95%,42%,0%,51%,2%,SUPP,SUPP
8656905,135804,168,148,10,7,141,58,SUPP,69,SUPP,13,7,88%,6%,4%,84%,35%,SUPP,41%,SUPP,8%,4%
8656906,136183,111,104,8,8,96,38,SUPP,53,SUPP,3,4,94%,7%,7%,86%,34%,SUPP,48%,SUPP,3%,4%
8657002,126546,24,24,0,0,24,17,0,0,7,0,0,100%,0%,0%,100%,71%,0%,0%,29%,0%,0%
8657007,126550,14,13,SUPP,SUPP,SUPP,11,0,SUPP,SUPP,SUPP,SUPP,93%,SUPP,SUPP,SUPP,79%,0%,SUPP,SUPP,SUPP,SUPP
8657008,141647,9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8657009,126552,6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8657010,126553,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
8657015,137470,15,12,0,SUPP,SUPP,8,0,SUPP,SUPP,3,0,80%,0%,SUPP,SUPP,53%,0%,SUPP,SUPP,20%,0%
LA,865,5160,4910,240,150,4760,2090,200,2360,110,210,45,95%,5%,3%,92%,40%,4%,46%,2%,4%,1%
8664060,137684,184,170,15,13,157,145,7,SUPP,SUPP,SUPP,SUPP,92%,8%,7%,85%,79%,4%,SUPP,SUPP,SUPP,SUPP
8664065,137408,183,173,14,5,168,160,6,SUPP,SUPP,SUPP,SUPP,95%,8%,3%,92%,87%,3%,SUPP,SUPP,SUPP,SUPP
8664074,136860,177,168,10,3,165,106,54,SUPP,SUPP,9,0,95%,6%,2%,93%,60%,31%,SUPP,SUPP,5%,0%
8664084,140515,214,197,15,12,185,170,9,6,0,14,3,92%,7%,6%,86%,79%,4%,3%,0%,7%,1%
8664086,137264,217,205,14,6,199,109,SUPP,71,SUPP,12,0,94%,6%,3%,92%,50%,SUPP,33%,SUPP,6%,0%
8664088,131196,230,223,11,9,214,165,41,8,0,7,0,97%,5%,4%,93%,72%,18%,3%,0%,3%,0%
8665407,137265,249,239,18,5,234,189,39,SUPP,SUPP,SUPP,SUPP,96%,7%,2%,94%,76%,16%,SUPP,SUPP,SUPP,SUPP
8665409,136980,215,208,7,7,201,132,SUPP,54,SUPP,SUPP,SUPP,97%,3%,3%,93%,61%,SUPP,25%,SUPP,SUPP,SUPP
8665410,137190,218,209,7,3,206,106,SUPP,85,SUPP,9,0,96%,3%,1%,94%,49%,SUPP,39%,SUPP,4%,0%
8665417,137160,218,211,10,7,204,88,SUPP,108,SUPP,SUPP,SUPP,97%,5%,3%,94%,40%,SUPP,50%,SUPP,SUPP,SUPP
8666905,135364,111,92,6,6,86,41,SUPP,43,SUPP,SUPP,SUPP,83%,5%,5%,77%,37%,SUPP,39%,SUPP,SUPP,SUPP
8667004,126547,18,11,0,SUPP,SUPP,SUPP,0,0,0,SUPP,SUPP,61%,0%,SUPP,SUPP,SUPP,0%,0%,0%,SUPP,SUPP
8667006,126549,26,26,0,0,26,16,0,0,10,0,0,100%,0%,0%,100%,62%,0%,0%,38%,0%,0%
8667012,126555,14,14,0,0,14,0,0,0,14,0,0,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
LA,866,2275,2145,125,80,2070,1435,210,390,35,115,15,94%,6%,3%,91%,63%,9%,17%,2%,5%,1%
8674030,110047,177,171,10,11,160,86,SUPP,65,SUPP,6,0,97%,6%,6%,90%,49%,SUPP,37%,SUPP,3%,0%
8674032,110049,206,199,10,6,193,36,SUPP,136,SUPP,SUPP,SUPP,97%,5%,3%,94%,17%,SUPP,66%,SUPP,SUPP,SUPP
8674058,110068,203,197,9,7,190,47,50,93,0,6,0,97%,4%,3%,94%,23%,25%,46%,0%,3%,0%
8674059,110069,245,233,21,9,224,88,SUPP,121,SUPP,12,0,95%,9%,4%,91%,36%,SUPP,49%,SUPP,5%,0%
8674061,110071,174,164,9,8,156,62,SUPP,89,SUPP,10,0,94%,5%,5%,90%,36%,SUPP,51%,SUPP,6%,0%
8674603,137267,154,152,4,SUPP,SUPP,25,SUPP,112,0,SUPP,SUPP,99%,3%,SUPP,SUPP,16%,SUPP,73%,0%,SUPP,SUPP
8677032,110190,19,19,0,0,19,SUPP,0,SUPP,18,0,0,100%,0%,0%,100%,SUPP,0%,SUPP,95%,0%,0%
LA,867,1180,1135,65,40,1095,345,110,615,25,SUPP,SUPP,96%,5%,4%,93%,29%,9%,52%,2%,SUPP,SUPP
8684000,138879,132,127,5,SUPP,SUPP,29,SUPP,89,SUPP,5,0,96%,4%,SUPP,SUPP,22%,SUPP,67%,SUPP,4%,0%
8684029,138823,241,235,7,5,230,41,21,168,0,3,3,98%,3%,2%,95%,17%,9%,70%,0%,1%,1%
8684036,110051,182,179,3,SUPP,SUPP,37,17,120,SUPP,SUPP,SUPP,98%,2%,SUPP,SUPP,20%,9%,66%,SUPP,SUPP,SUPP
8684044,141844,220,208,11,12,196,68,SUPP,122,SUPP,7,5,95%,5%,5%,89%,31%,SUPP,55%,SUPP,3%,2%
8684046,141852,183,175,8,12,163,53,SUPP,95,SUPP,SUPP,SUPP,96%,4%,7%,89%,29%,SUPP,52%,SUPP,SUPP,SUPP
